iter	Passed	Remaining
0	1	154
1	2	120
2	3	109
3	4	99
4	4	93
5	5	90
6	6	88
7	7	86
8	8	84
9	9	82
10	9	80
11	10	78
12	11	77
13	12	76
14	13	75
15	14	75
16	15	74
17	16	73
18	16	72
19	18	72
20	18	71
21	19	70
22	20	68
23	21	67
24	22	66
25	22	65
26	23	63
27	24	63
28	25	62
29	26	61
30	27	60
31	28	59
32	28	58
33	29	57
34	30	56
35	31	55
36	32	54
37	32	53
38	33	52
39	34	51
40	35	50
41	35	49
42	36	48
43	37	47
44	38	46
45	39	46
46	40	45
47	41	44
48	41	43
49	42	42
50	43	41
51	44	40
52	45	40
53	46	39
54	46	38
55	47	37
56	48	36
57	49	35
58	50	34
59	51	34
60	51	33
61	52	32
62	53	31
63	54	30
64	55	29
65	56	28
66	56	28
67	57	27
68	58	26
69	59	25
70	60	24
71	61	23
72	62	22
73	62	22
74	63	21
75	64	20
76	65	19
77	66	18
78	66	17
79	67	16
80	68	16
81	69	15
82	70	14
83	71	13
84	71	12
85	72	11
86	73	11
87	74	10
88	75	9
89	76	8
90	77	7
91	78	6
92	78	5
93	79	5
94	80	4
95	81	3
96	82	2
97	83	1
98	84	0
99	84	0
